token_address,token_name,token_symbol,decimals,first_tx
0x34b9aa82d89ae04f0f546ca5ec9c93efe1288940,HRC20 Tranquil ONE,ONE,18,0x1bab15f513a71a72b687bddfdc31292e8db6561781828f4dc136b7582a6baabf
0x973f22036a0ff3a93654e7829444ec64cb37bd78,HRC20 Staked One,stONE,18,0x223cdaf8be480d0404fa6c25b04e591fe72a4632b9cf7327aa6206a1accfbfaf
0xd9c0d8ad06abe10ab29655ff98dcaaa0e059184a,HRC20 Wrapped BTC,1WBTC,8,0xf345fa099df6469593289143616b160985af00eb3955bc4209146f060ea3cf39
0x481721b918c698ff5f253c56684bac8dca84346c,HRC20 BTC,1BTC,8,0xd01f75a5619bbd1d03cb917e2a196642bce7745569cd42e54d8b221013695c26
0xc63ab8c72e636c9961c5e9288b697ec5f0b8e1f7,HRC20 ETH,1ETH,18,0xa9fee4cb0183b3fab40e946987cffe15e0880eaf6b654050c2bac8d0eacdb535
0xca3e902efdb2a410c952fd3e4ac38d7dbdcb8e96,HRC20 USD Coin,1USDC,6,0x874f3acf97d79158f218cf9e200009b66776ec205c59f8eeb8dd7e6217599fc6
0x7af2430efa179db0e76257e5208bcaf2407b2468,HRC20 Tether USD,1USDT,6,0x51741ffd403da3668cdb2a2ee7f56445350dcc8580e590093ef6d2b12bd09c11
0x49d95736fe7f1f32e3ee5defc26c95ba22834639,HRC20 Dai Stablecoin,1DAI,18,0x956e60b3b0353e06d7443e6e4422310d7dfafe062d2bec37bb5b63c2d02055f0
